,concept_name_id,concept_id,name,locale,locale_preferred,creator,date_created,concept_name_type,voided,voided_by,date_voided,void_reason,uuid,date_changed,changed_by
26,27,2,Non,ht,1,2,2015-04-22 09:28:45,FULLY_SPECIFIED,0,,,,5bcc9a17-0a17-4075-84d4-f09882cfaa18,2021-04-14 18:42:09,2.0
27,28,2,Non,fr,1,2,2015-04-22 09:28:45,FULLY_SPECIFIED,0,,,,743d14ca-dd31-4ed7-8bfb-b2e4c98a2609,2021-04-14 18:42:09,2.0
28,29,5,DON'T KNOW,en,0,2,2015-04-22 09:28:45,,0,,,,0b8bdd6c-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
29,30,5,Inconnu,fr,1,2,2015-04-22 09:28:45,FULLY_SPECIFIED,0,,,,0b8bdf56-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
30,31,5,DO NOT KNOW,en,0,2,2015-04-22 09:28:45,,0,,,,0b8bde66-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
31,32,5,Unknown,en,1,2,2015-04-22 09:28:45,FULLY_SPECIFIED,0,,,,3e1518f8-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
32,33,6,Lòt,ht,1,2,2015-04-22 09:28:48,FULLY_SPECIFIED,0,,,,abc2ce9a-2a12-46b5-9bd7-cee4d9f61b08,2021-04-14 18:42:09,2.0
33,34,6,Other non-coded,en,0,2,2015-04-22 09:28:48,FULLY_SPECIFIED,0,,,,0b6f94ea-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
34,35,6,Autre et non codé,fr,0,2,2015-04-22 09:28:48,,0,,,,105802BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:42:09,2.0
35,36,6,"Autre, non spécifiée",fr,0,2,2015-04-22 09:28:48,,0,,,,14a06afe-a240-4d52-8eda-a762857aabe8,2021-04-14 18:42:09,2.0
36,37,6,Autre,fr,1,2,2015-04-22 09:28:48,FULLY_SPECIFIED,0,,,,af406c44-9ddb-4808-8caa-8361f7f95028,2021-04-14 18:42:09,2.0
37,38,6,Nyinginezo,sw,1,2,2015-04-22 09:28:48,FULLY_SPECIFIED,0,,,,110113BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:42:09,2.0
38,39,6,Other,en,1,2,2015-04-22 09:28:48,,0,,,,1724c34c-6f89-4bd0-8bf7-ec83c3ba53fb,2021-04-14 18:42:09,2.0
39,40,6,Otro no codificado,es,0,2,2015-04-22 09:28:48,FULLY_SPECIFIED,0,,,,110860BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:42:09,2.0
40,41,7,Freetext general,en,0,2,2015-04-22 09:28:49,,0,,,,109085BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
41,42,7,Free text general,en,1,2,2015-04-22 09:28:49,FULLY_SPECIFIED,0,,,,109086BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
42,43,8,None,en,1,2,2015-04-22 09:28:49,FULLY_SPECIFIED,0,,,,3e15729e-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
43,44,8,Aucun,fr,1,2,2015-04-22 09:28:49,FULLY_SPECIFIED,0,,,,3e157424-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
44,45,9,Not applicable,en,1,2,2015-04-22 09:28:50,FULLY_SPECIFIED,0,,,,3e16182a-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
45,46,9,Sans objet,fr,1,2,2015-04-22 09:28:50,,0,,,,0b8e7ce8-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
46,47,9,Ne pas applicable,fr,0,2,2015-04-22 09:28:50,,0,,,,0b8e7bee-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
47,48,9,Pas valable,fr,0,2,2015-04-22 09:28:50,,0,,,,f5dfdb38-d5db-102d-ad2a-000c29c2a5d7,2021-04-14 18:42:09,2.0
48,49,10,Nurse,en,1,2,2015-04-22 09:28:28,FULLY_SPECIFIED,0,,,,1848BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
49,50,10,Infirmière,fr,1,2,2015-04-22 09:28:28,FULLY_SPECIFIED,0,,,,1849BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
50,51,11,Doctor,en,1,2,2015-04-22 09:28:31,,0,,,,107418BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
51,52,11,Médecin,fr,1,2,2015-04-22 09:28:31,FULLY_SPECIFIED,0,,,,611d795d-6b27-4d26-8c61-af4a78b8388b,2021-04-14 18:41:06,2.0
52,53,11,CLINICAL OFFICER/DOCTOR,en,0,2,2015-04-22 09:28:31,FULLY_SPECIFIED,0,,,,1844BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
53,54,11,Physician,en,0,2,2015-04-22 09:28:31,,0,,,,107417BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
54,55,12,Village Health Worker,en,0,2,2015-04-22 09:28:32,FULLY_SPECIFIED,0,,,,0b785ea4-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:41:06,2.0
55,56,12,VHW (Village Health Worker),en,0,2,2015-04-22 09:28:32,,0,,,,99967BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
56,57,12,CHO (Community Health Officer),en,0,2,2015-04-22 09:28:32,,0,,,,107416BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
57,58,12,CHW (Community Health Worker),en,1,2,2015-04-22 09:28:32,,0,,,,89567BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
58,59,12,Officier de Santé du Village,fr,0,2,2015-04-22 09:28:32,FULLY_SPECIFIED,0,,,,1820BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
59,60,12,Accompagnateur,fr,0,2,2015-04-22 09:28:32,,0,,,,7049249e-6ade-4743-a33d-fb3f6d4b33cd,2021-04-14 18:41:06,2.0
60,61,12,CHEW (Community Health Extension Worker),en,0,2,2015-04-22 09:28:32,,0,,,,89434BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
61,62,12,Community Health Care Worker,en,0,2,2015-04-22 09:28:32,,0,,,,1819BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
62,63,12,CHN (Community Health Nurse),en,0,2,2015-04-22 09:28:32,,0,,,,107415BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
63,64,12,CCHA (Community and Clinical Health Assistant),en,0,2,2015-04-22 09:28:32,,0,,,,126198BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:41:06,2.0
64,65,13,Domicile,fr,1,2,2015-04-22 09:28:33,,0,,,,44c1416d-4de3-4cb6-8ff2-af7b5cba366a,2021-04-14 18:42:09,2.0
65,66,13,Home,en,1,2,2015-04-22 09:28:33,FULLY_SPECIFIED,0,,,,9880d702-6a5a-11e2-b6f9-aa00f871a3e1,2021-04-14 18:42:09,2.0
66,67,13,Lakay,ht,1,2,2015-04-22 09:28:33,FULLY_SPECIFIED,0,,,,cd429b94-7bb0-4edd-a746-f83f682729ee,2021-04-14 18:42:09,2.0
67,68,13,Sortie par la maison,fr,0,2,2015-04-22 09:28:33,FULLY_SPECIFIED,0,,,,f358b82d-631b-49b4-be8e-577d345de149,2021-04-14 18:42:09,2.0
68,69,14,Hôpital,fr,1,2,2015-04-22 09:28:34,FULLY_SPECIFIED,0,,,,dbd54ca7-747c-485e-b27b-91bdc50cf0bf,2021-04-14 18:42:09,2.0
69,70,14,Hospital,en,1,2,2015-04-22 09:28:34,FULLY_SPECIFIED,0,,,,3e215a0a-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
70,71,15,Extra institutionnel,fr,1,2,2019-07-24 19:51:11,FULLY_SPECIFIED,0,,,,da62bffc-ae71-4d3d-817a-05c08f5f119b,,
71,72,15,Outside of institution,en,1,2,2019-07-24 19:51:11,FULLY_SPECIFIED,0,,,,f3bbedb4-91b0-46de-a166-456a6502acda,,
72,73,15,Not in the hospital,en,0,2,2019-07-24 19:51:11,,0,,,,d8311920-93a7-4ddf-aa4c-8211451f5d87,,
73,74,16,Family member,en,1,2,2015-04-22 09:28:35,FULLY_SPECIFIED,0,,,,0b95af4a-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
74,75,16,Manm nan fanmi an,ht,1,2,2015-04-22 09:28:35,FULLY_SPECIFIED,0,,,,69566475-e2d7-4c93-8756-2da07ca672a4,2021-04-14 18:42:09,2.0
75,76,16,Membre de la famille,fr,1,2,2015-04-22 09:28:35,FULLY_SPECIFIED,0,,,,0753fb31-7dcc-4d79-ae5e-129ee80cb071,2021-04-14 18:42:09,2.0
76,77,16,PERSON RELATED TO PATIENT,en,0,2,2015-04-22 09:28:35,,0,,,,0b95b134-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
77,78,16,FAMILY REPRESENTATIVE,en,0,2,2015-04-22 09:28:35,,0,,,,0b95b044-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:42:09,2.0
78,79,17,Police,fr,1,2,2015-04-22 09:28:36,FULLY_SPECIFIED,0,,,,993d6ce0-699a-4f16-8218-099b2effe4a9,2021-04-14 18:41:06,2.0
79,80,17,Police,en,1,2,2015-04-22 09:28:36,FULLY_SPECIFIED,0,,,,8281322d-5616-4cc4-8439-092a5388105d,2021-04-14 18:41:06,2.0
80,81,18,Chirurgie,fr,1,2,2015-04-22 09:28:38,FULLY_SPECIFIED,0,,,,0b940cd0-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:40:16,2.0
81,82,18,Surgery,en,1,2,2015-04-22 09:28:38,FULLY_SPECIFIED,0,,,,0b928a22-15f5-102d-96e4-000c29c2a5d7,2021-04-14 18:40:16,2.0
82,83,19,Father,en,1,2,2015-04-22 09:28:38,FULLY_SPECIFIED,0,,,,3e2259b4-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
83,84,19,Pèrexx,fr,1,2,2015-04-22 09:28:38,,1,2.0,2021-02-09 11:05:18,Removed from user interface,f672d7ee-d5db-102d-ad2a-000c29c2a5d7,2021-04-14 18:40:16,2.0
84,85,20,Mother,en,1,2,2015-04-22 09:28:39,FULLY_SPECIFIED,0,,,,3e225b1c-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
85,86,20,Mèrexx,fr,1,2,2015-04-22 09:28:39,,1,2.0,2021-02-09 11:04:36,Removed from user interface,f673058e-d5db-102d-ad2a-000c29c2a5d7,2021-04-14 18:40:16,2.0
86,87,21,Autre parent,fr,1,2,2015-07-23 18:11:40,FULLY_SPECIFIED,0,,,,ac1661a2-4b4b-4fc5-b683-6ceac5ab24c2,2021-04-14 18:40:16,2.0
87,88,21,Other relative,en,1,2,2015-04-22 09:28:39,FULLY_SPECIFIED,0,,,,3e2265d0-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
88,89,22,Sibling,en,1,2,2015-04-22 09:28:40,FULLY_SPECIFIED,0,,,,3e225f36-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
89,90,22,Soeur/Frère,fr,1,2,2015-07-23 18:13:14,FULLY_SPECIFIED,0,,,,57063624-1e75-4529-9731-f79134c27f01,2021-04-14 18:40:16,2.0
90,91,23,Partenaire ou époux,fr,1,2,2015-07-23 18:19:48,FULLY_SPECIFIED,0,,,,78abf00f-360f-4fe1-92a8-2e33fa0c9fba,2021-04-14 18:40:16,2.0
91,92,23,Partner or Spouse,en,1,2,2015-04-22 09:28:41,FULLY_SPECIFIED,0,,,,3e405a36-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
92,93,24,GUARDIAN RELATION,en,0,2,2015-04-22 09:28:42,SHORT,1,2.0,2020-08-28 10:12:53,,93b6c704-07d4-102c-b5fa-0017a47871b2,2021-04-14 18:40:16,2.0
93,94,24,Guardian relationship to child,en,1,2,2015-04-22 09:28:42,FULLY_SPECIFIED,0,,,,3e1ef350-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
94,95,24,Relation de tuteur à l'enfant,fr,1,2,2015-07-23 18:22:33,FULLY_SPECIFIED,0,,,,50fde515-7d03-4aea-820a-1208acb0fdcf,2021-04-14 18:40:16,2.0
95,96,25,Brother,en,1,2,2015-04-22 09:28:43,FULLY_SPECIFIED,0,,,,3e225c7a-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
96,97,25,Frère,fr,1,2,2015-07-23 18:17:58,FULLY_SPECIFIED,0,,,,f8400b03-3c37-4675-a3a4-027d67c7ad63,2021-04-14 18:40:16,2.0
97,98,26,Sister,en,1,2,2015-04-22 09:28:43,FULLY_SPECIFIED,0,,,,3e225dd8-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
98,99,26,Soeur,fr,1,2,2015-07-23 18:14:49,FULLY_SPECIFIED,0,,,,338ad7f5-1d55-4c45-9c6c-3b7391d0127b,2021-04-14 18:40:16,2.0
99,100,27,Nurse Accompagnateur,en,1,2,2019-07-24 19:51:11,FULLY_SPECIFIED,0,,,,9a4b4976-8a9f-11e8-9a94-a6cf71072f73,,
100,101,27,Infirmière Accompagnateur,fr,1,2,2019-07-24 19:51:11,FULLY_SPECIFIED,0,,,,9a4b5470-8a9f-11e8-9a94-a6cf71072f73,,
101,102,28,Title of who completed form,en,1,2,2019-07-24 19:51:12,FULLY_SPECIFIED,0,,,,126197BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,
102,103,28,Form completed by,en,0,2,2019-07-24 19:51:12,,0,,,,126196BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,
103,104,29,Title of who completed form detail,en,1,2,2019-07-24 19:51:12,FULLY_SPECIFIED,0,,,,126203BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,
104,105,30,ID Card Printing Requested,en,1,2,2019-07-24 19:51:12,FULLY_SPECIFIED,0,,,,3fe8bbf9-e9f6-11e4-a8a3-54ee7513a7ff,,
105,106,31,ID Card Printing Successful,en,1,2,2019-07-24 19:51:12,FULLY_SPECIFIED,0,,,,590d36df-ee77-11e4-a257-54ee7513a7ff,,
106,107,32,Presenting history,en,1,2,2015-04-22 09:28:51,FULLY_SPECIFIED,0,,,,3e141cbe-26fe-102b-80cb-0017a47871b2,2021-02-16 15:34:40,2.0
107,108,32,ANAMNESE,fr,0,2,2007-10-10 05:18:24,,1,2.0,2015-04-22 09:28:51,Voided due to change of name,3e141f8e-26fe-102b-80cb-0017a47871b2,2021-02-16 15:34:40,2.0
108,109,33,Past medical history finding,en,1,2,2015-04-22 09:28:52,FULLY_SPECIFIED,0,,,,1908BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
109,110,34,Sign/symptom present,en,1,2,2015-04-22 09:28:52,FULLY_SPECIFIED,0,,,,2009BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
110,111,35,Past medical history added (text),en,1,2,2015-04-22 09:28:53,FULLY_SPECIFIED,0,,,,108123BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
111,112,36,Past medical history,en,1,2,2015-04-22 09:28:53,FULLY_SPECIFIED,0,,,,1913BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
112,113,36,PMH,en,0,2,2015-04-22 09:28:53,SHORT,0,,,,86916BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
113,114,37,Family history diagnosis,en,1,2,2015-04-22 09:28:54,FULLY_SPECIFIED,0,,,,109016BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
114,115,38,Relation du rapport au patient,fr,1,2,2015-07-24 16:26:37,FULLY_SPECIFIED,0,,,,0502ccd4-014b-4e2b-9734-76d17d46afc6,2021-04-14 18:40:16,2.0
115,116,38,Relationship of relative to patient,en,1,2,2015-04-22 09:28:54,FULLY_SPECIFIED,0,,,,3e2256c6-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
116,117,38,CONTACT_REL,en,0,2,2015-04-22 09:28:54,SHORT,0,,,,93bc0d72-07d4-102c-b5fa-0017a47871b2,2021-04-14 18:40:16,2.0
117,118,39,Family history comment,en,1,2,2015-04-22 09:28:55,FULLY_SPECIFIED,0,,,,109055BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
118,119,40,Patient's family history list,en,1,2,2015-04-22 09:28:55,FULLY_SPECIFIED,0,,,,109017BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
119,120,40,Family history list,en,0,2,2015-04-22 09:28:55,,0,,,,109019BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-04-14 18:40:16,2.0
120,121,41,Clinical management plan comment,en,1,2,2014-12-03 19:03:03,FULLY_SPECIFIED,0,,,,126604BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,2021-02-16 15:34:40,2.0
121,122,41,Plan de gestion clinique commentaire,fr,1,2,2019-07-24 19:51:12,FULLY_SPECIFIED,1,2.0,2020-09-04 14:14:48,,5b845ebb-3a1a-4270-9133-e7e970f88268,2020-09-04 14:14:48,2.0
122,123,42,ACTIF SEXUELLEMENT,fr,0,2,2015-04-22 09:28:55,,1,2.0,2019-07-11 09:20:08,Deleted due to change of name,3e384abc-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
123,124,42,SEXUELLEMENT ACTIFx,fr,1,2,2015-04-22 09:28:55,,1,2.0,2019-07-11 09:20:08,Removed from user interface,f6b929d8-d5db-102d-ad2a-000c29c2a5d7,2021-04-14 18:40:16,2.0
124,125,42,Sexual activity,en,0,2,2015-04-22 09:28:55,,0,,,,9566bc8a-07d4-102c-b5fa-0017a47871b2,2021-04-14 18:40:16,2.0
125,126,42,Sexually active,en,1,2,2015-04-22 09:28:55,FULLY_SPECIFIED,0,,,,3e38494a-26fe-102b-80cb-0017a47871b2,2021-04-14 18:40:16,2.0
126,127,43,IUD,en,0,2,2015-04-22 09:28:56,,0,,,,94ae023a-07d4-102c-b5fa-0017a47871b2,2021-04-14 18:42:09,2.0
127,128,43,IUCD,en,0,2,2015-04-22 09:28:56,,0,,,,94adecd2-07d4-102c-b5fa-0017a47871b2,2021-04-14 18:42:09,2.0
128,129,43,Intrauterine device,en,0,2,2015-04-22 09:28:56,FULLY_SPECIFIED,0,,,,3e3d0ef8-26fe-102b-80cb-0017a47871b2,2021-04-14 18:42:09,2.0
129,130,43,Dispositif intra-utérin,fr,1,2,2015-04-22 09:28:56,FULLY_SPECIFIED,0,,,,1c1163ae-3643-4bd4-8cf2-1d948fd6ffdf,2021-04-14 18:42:09,2.0
130,131,44,Levonorgestrel,en,1,2,2015-04-22 09:28:57,FULLY_SPECIFIED,0,,,,7dcf6221-8df5-43ca-a800-fa6c2a9c362e,2021-04-14 18:42:09,2.0
131,132,44,Microlut,en,0,2,2015-04-22 09:28:57,,0,,,,73c4b9d8-2d3e-494e-b4ce-4493212a4be3,2021-04-14 18:42:09,2.0
132,133,44,Plan B,en,0,2,2015-04-22 09:28:57,,0,,,,7a09813f-6fbe-4067-9713-082575c6db13,2021-04-14 18:42:09,2.0
133,134,44,Norplant system,en,0,2,2015-04-22 09:28:57,,0,,,,d8b4a143-ec63-412e-b9e0-e90842297b85,2021-04-14 18:42:09,2.0
134,135,44,Norplant,en,0,2,2015-04-22 09:28:57,,0,,,,1d91ee71-7b2c-4857-b28e-eb45f446d18f,2021-04-14 18:42:09,2.0
135,136,44,Implant contraceptif sous-cutané,fr,1,2,2015-04-22 09:28:57,,0,,,,f638c3a6-d5db-102d-ad2a-000c29c2a5d7,2021-04-14 18:42:09,2.0
136,137,45,Interruption de la perméabilité des trompes utérines,fr,0,2,2015-04-22 09:28:57,,0,,,,626b553b-bd87-4246-8485-b11a23f3f72c,2021-04-14 18:42:09,2.0
137,138,45,BTL,en,0,2,2015-04-22 09:28:57,,0,,,,b618d501-3e46-4675-9d4f-9b6bab969778,2021-04-14 18:42:09,2.0
138,139,45,Bilateral tubal ligation,en,0,2,2015-04-22 09:28:57,,0,,,,33bdfbec-b51b-4b1a-8cef-26ecab94fcc6,2021-04-14 18:42:09,2.0
139,140,45,Ligature des trompes,fr,1,2,2015-04-22 09:28:57,FULLY_SPECIFIED,0,,,,a0e32650-51c5-4eac-90af-a1ff035112f3,2021-04-14 18:42:09,2.0
140,141,45,Tubal ligation,en,1,2,2015-04-22 09:28:57,,0,,,,10f365da-77c7-4b8f-978f-d6fd70ca1a70,2021-04-14 18:42:09,2.0
141,142,45,Ligature,ht,0,2,2015-04-22 09:28:57,,0,,,,0351252e-ac54-4647-be21-2b11c9efd33c,2021-04-14 18:42:09,2.0
142,143,45,Ligation of fallopian tube,en,0,2,2015-04-22 09:28:57,FULLY_SPECIFIED,0,,,,7e556285-9204-4597-ac88-3e5d189a8599,2021-04-14 18:42:09,2.0
143,144,45,Interruption de la perméabilité des trompes utérines,ht,0,2,2015-04-22 09:28:57,,0,,,,e739c2b4-4da3-4051-a8af-4f05d8c6cc06,2021-04-14 18:42:09,2.0
144,145,45,Ligature des trompes,ht,1,2,2015-04-22 09:28:57,FULLY_SPECIFIED,0,,,,2e08cd66-97df-40c7-a931-f5ec63a7954b,2021-04-14 18:42:09,2.0
145,146,46,Vasectomie,fr,1,2,2015-04-22 09:28:58,FULLY_SPECIFIED,0,,,,590b51b8-bced-4228-9ae3-5d7e4c8f289c,2021-04-14 18:42:09,2.0
146,147,46,Vasectomie,ht,1,2,2015-04-22 09:28:58,FULLY_SPECIFIED,0,,,,bed6486a-14cf-40da-b87d-da56368e55af,2021-04-14 18:42:09,2.0
